
  0%|                                                                                                            | 0/938 [00:00<?, ?it/s]
Loss=0.6551657319068909 Batch_id=136 Accuracy=53.23:  15%|######5                                      | 137/938 [00:04<00:24, 32.44it/s]
Loss=0.7170529961585999 Batch_id=137 Accuracy=53.46:  15%|######5                                      | 137/938 [00:04<00:24, 32.44it/s]
Loss=0.5552765130996704 Batch_id=138 Accuracy=53.72:  15%|######5                                      | 137/938 [00:04<00:24, 32.44it/s]
Loss=0.6933203935623169 Batch_id=139 Accuracy=53.93:  15%|######5                                      | 137/938 [00:05<00:24, 32.44it/s]
Loss=0.650560200214386 Batch_id=140 Accuracy=54.21:  15%|######7                                       | 137/938 [00:05<00:24, 32.44it/s]
Loss=0.650560200214386 Batch_id=140 Accuracy=54.21:  15%|######9                                       | 141/938 [00:05<00:23, 33.54it/s]
Loss=0.6625972390174866 Batch_id=141 Accuracy=54.43:  15%|######7                                      | 141/938 [00:05<00:23, 33.54it/s]
Loss=0.6686748266220093 Batch_id=142 Accuracy=54.65:  15%|######7                                      | 141/938 [00:05<00:23, 33.54it/s]
Loss=0.7368419766426086 Batch_id=143 Accuracy=54.83:  15%|######7                                      | 141/938 [00:05<00:23, 33.54it/s]
Loss=0.655173122882843 Batch_id=144 Accuracy=55.03:  15%|######9                                       | 141/938 [00:05<00:23, 33.54it/s]
Loss=0.655173122882843 Batch_id=144 Accuracy=55.03:  15%|#######1                                      | 145/938 [00:05<00:23, 34.29it/s]
Loss=0.6547752618789673 Batch_id=145 Accuracy=55.24:  15%|######9                                      | 145/938 [00:05<00:23, 34.29it/s]
Loss=0.7095749974250793 Batch_id=146 Accuracy=55.41:  15%|######9                                      | 145/938 [00:05<00:23, 34.29it/s]
Loss=0.6191211342811584 Batch_id=147 Accuracy=55.64:  15%|######9                                      | 145/938 [00:05<00:23, 34.29it/s]
Loss=0.6500602960586548 Batch_id=148 Accuracy=55.81:  15%|######9                                      | 145/938 [00:05<00:23, 34.29it/s]
Loss=0.6500602960586548 Batch_id=148 Accuracy=55.81:  16%|#######1                                     | 149/938 [00:05<00:23, 33.30it/s]
Loss=0.6923758387565613 Batch_id=149 Accuracy=56.02:  16%|#######1                                     | 149/938 [00:05<00:23, 33.30it/s]
Loss=0.7158539295196533 Batch_id=150 Accuracy=56.19:  16%|#######1                                     | 149/938 [00:05<00:23, 33.30it/s]
Loss=0.5583085417747498 Batch_id=151 Accuracy=56.41:  16%|#######1                                     | 149/938 [00:05<00:23, 33.30it/s]
Loss=0.6457453966140747 Batch_id=152 Accuracy=56.62:  16%|#######1                                     | 149/938 [00:05<00:23, 33.30it/s]
Loss=0.6457453966140747 Batch_id=152 Accuracy=56.62:  16%|#######3                                     | 153/938 [00:05<00:23, 33.20it/s]
Loss=0.651766836643219 Batch_id=153 Accuracy=56.81:  16%|#######5                                      | 153/938 [00:05<00:23, 33.20it/s]
Loss=0.5933644771575928 Batch_id=154 Accuracy=56.98:  16%|#######3                                     | 153/938 [00:05<00:23, 33.20it/s]
Loss=0.5736616849899292 Batch_id=155 Accuracy=57.15:  16%|#######3                                     | 153/938 [00:05<00:23, 33.20it/s]
Loss=0.5575845241546631 Batch_id=156 Accuracy=57.38:  16%|#######3                                     | 153/938 [00:05<00:23, 33.20it/s]
Loss=0.5575845241546631 Batch_id=156 Accuracy=57.38:  17%|#######5                                     | 157/938 [00:05<00:23, 32.79it/s]
Loss=0.771318256855011 Batch_id=157 Accuracy=57.51:  17%|#######6                                      | 157/938 [00:05<00:23, 32.79it/s]
Loss=0.5573902130126953 Batch_id=158 Accuracy=57.69:  17%|#######5                                     | 157/938 [00:05<00:23, 32.79it/s]
Loss=0.5929695963859558 Batch_id=159 Accuracy=57.89:  17%|#######5                                     | 157/938 [00:05<00:23, 32.79it/s]
Loss=0.6169436573982239 Batch_id=160 Accuracy=58.06:  17%|#######5                                     | 157/938 [00:05<00:23, 32.79it/s]
Loss=0.6169436573982239 Batch_id=160 Accuracy=58.06:  17%|#######7                                     | 161/938 [00:05<00:23, 32.49it/s]
Loss=0.6311219930648804 Batch_id=161 Accuracy=58.24:  17%|#######7                                     | 161/938 [00:05<00:23, 32.49it/s]
Loss=0.6863815188407898 Batch_id=162 Accuracy=58.38:  17%|#######7                                     | 161/938 [00:05<00:23, 32.49it/s]
Loss=0.5284976363182068 Batch_id=163 Accuracy=58.55:  17%|#######7                                     | 161/938 [00:05<00:23, 32.49it/s]
